Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-08-23 01:27:27.735	12756	10557	5393	0
2016-08-23 01:28:08.535	12574	10413	5223	0
2016-08-23 01:28:49.335	13525	11209	5731	0
2016-08-23 01:29:30.135	12668	10454	5342	0
2016-08-23 01:30:10.935	13461	11111	5735	0
2016-08-23 01:30:51.735	12444	10207	5246	0
2016-08-23 01:31:32.535	13361	11013	5626	0
2016-08-23 01:32:13.335	12793	10571	5456	0
2016-08-23 01:32:54.135	12700	10441	5442	0
2016-08-23 01:33:34.935	12300	10120	5082	0
2016-08-23 01:34:15.735	12813	10565	5332	0
2016-08-23 01:34:56.535	13453	11207	5653	0
2016-08-23 01:35:37.335	12172	10108	5197	0
2016-08-23 01:36:18.135	13420	11238	5739	0
2016-08-23 01:36:58.935	12571	10433	5446	0
2016-08-23 01:37:16.935	12130	10092	5169	0
2016-08-23 01:37:34.935	13135	10801	5600	0
2016-08-23 01:37:52.935	12265	10126	5220	0
2016-08-23 01:38:10.935	11986	10007	4935	0
2016-08-23 01:38:28.935	12621	10527	5432	0
2016-08-23 01:38:46.935	12853	10699	5407	0
2016-08-23 01:39:04.935	12963	10714	5485	0
2016-08-23 01:39:22.935	11375	9517	4892	0
2016-08-23 01:39:40.935	12172	10080	5127	0
2016-08-23 01:39:58.935	12504	10385	5356	0
2016-08-23 01:40:16.935	12844	10624	5448	0
2016-08-23 01:40:34.935	11867	9815	4993	0
2016-08-23 01:40:52.935	12183	10084	5087	0
2016-08-23 01:41:10.935	12871	10605	5352	0
2016-08-23 01:41:28.935	12751	10580	5387	0
2016-08-23 01:41:46.935	12335	10213	5154	0
2016-08-23 01:42:04.935	12042	9991	5027	0
2016-08-23 01:42:22.935	12163	10115	5229	0
2016-08-23 01:42:40.935	13048	10762	5494	0
2016-08-23 01:42:58.935	12724	10434	5399	0
2016-08-23 01:43:16.935	11963	10021	5075	0
2016-08-23 01:43:34.935	12106	10010	5021	0
2016-08-23 01:43:52.935	12371	10296	5153	0
2016-08-23 01:44:10.935	12466	10355	5294	0
2016-08-23 01:44:28.935	12171	10114	5141	0
2016-08-23 01:44:46.935	12135	10120	5215	0
2016-08-23 01:45:04.935	12276	10236	5154	0
2016-08-23 01:45:22.935	11692	9696	4850	0
2016-08-23 01:45:40.935	12575	10470	5277	0
2016-08-23 01:45:58.935	11979	10024	5096	0
2016-08-23 01:46:16.935	13005	10662	5395	0
2016-08-23 01:46:34.935	12606	10379	5304	0
2016-08-23 01:46:52.935	12384	10200	5171	0
2016-08-23 01:47:10.935	11999	9998	5034	0
2016-08-23 01:47:28.935	12845	10675	5313	0
2016-08-23 01:47:46.935	12407	10188	5196	0
2016-08-23 01:48:04.935	12242	10173	5161	0
2016-08-23 01:48:22.935	11807	9750	4954	0
2016-08-23 01:48:40.935	12566	10470	5375	0
2016-08-23 01:48:58.935	12827	10631	5391	0
2016-08-23 01:49:16.935	12409	10180	5187	0
2016-08-23 01:49:34.935	12364	10279	5181	0
2016-08-23 01:49:52.935	11994	9913	5034	0
